group,fname,flags_thresh,flags_out,flags_natoms,flags_atomids,natoms,econfig,eatom,max_fmag,min_nn1_dist
Shear,InP_shear_1331.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.640526037999997,-0.95507,11.227947915403332,4.361623746095026
Shear,InP_shear_1341.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.887379828,-0.98592,10.866106080898897,4.283977404247133
Shear,InP_shear_1341.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.887379828,-0.98592,10.866106080898897,4.283977404247133
Shear,InP_shear_1351.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.687327728,-0.96092,11.149803903004482,4.368385810983273
Shear,InP_shear_1351.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.687327728,-0.96092,11.149803903004482,4.368385810983273
Shear,InP_shear_1361.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.662476177999999,-0.95781,11.19883596521826,4.35109321178023
Shear,InP_shear_1361.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.662476177999999,-0.95781,11.19883596521826,4.35109321178023
Shear,InP_shear_1371.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.486522647999998,-0.93582,11.551247980282001,4.139177640836402
Shear,InP_shear_1371.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.486522647999998,-0.93582,11.551247980282001,4.139177640836402
Shear,InP_shear_1381.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.830225067999997,-0.97878,10.967046904096335,4.265643975122631
Shear,InP_shear_1381.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.830225067999997,-0.97878,10.967046904096335,4.265643975122631
Shear,InP_shear_1391.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.698910127999998,-0.96236,11.173477423535791,4.280413240809816
Shear,InP_shear_1391.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.698910127999998,-0.96236,11.173477423535791,4.280413240809816
Shear,InP_shear_1401.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.8895035979999975,-0.98619,10.860505321088704,4.289109084658492
Shear,InP_shear_1401.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.8895035979999975,-0.98619,10.860505321088704,4.289109084658492
Shear,InP_shear_141.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.864573417999999,-0.98307,10.873752606304917,4.35122647266262
Shear,InP_shear_141.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.864573417999999,-0.98307,10.873752606304917,4.35122647266262
Shear,InP_shear_1411.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.887192687999999,-0.9859,10.874434403920095,4.263759152156697
Shear,InP_shear_1411.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.887192687999999,-0.9859,10.874434403920095,4.263759152156697
Shear,InP_shear_1421.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.827214677999997,-0.9784,10.925707724123411,4.368066443736862
Shear,InP_shear_1421.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.827214677999997,-0.9784,10.925707724123411,4.368066443736862
Shear,InP_shear_1431.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.817428727999999,-0.97718,10.960092193103396,4.33058189050848
Shear,InP_shear_1431.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.817428727999999,-0.97718,10.960092193103396,4.33058189050848
Shear,InP_shear_1441.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.925521027999999,-0.99069,10.840812454363094,4.1409185816193
Shear,InP_shear_1441.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.925521027999999,-0.99069,10.840812454363094,4.1409185816193
